date,close
2024.7.31,83900
2024.8.1,83100
2024.8.2,79600
2024.8.5,71400
2024.8.6,72500
2024.8.7,74700
2024.8.8,73400
2024.8.9,74700
2024.8.12,75500
2024.8.13,76100
2024.8.14,77200
2024.8.16,80200
2024.8.19,78300
2024.8.20,78900
2024.8.21,78300
2024.8.22,78300
2024.8.23,77700
2024.8.26,76100
2024.8.27,75800
2024.8.28,76400
2024.8.29,74000
2024.8.30,74300
2024.9.2,74400
2024.9.3,72500
2024.9.4,70000
2024.9.5,69000
2024.9.6,68900
2024.9.9,67500
2024.9.10,66200
2024.9.11,64900
2024.9.12,66300
2024.9.13,64400
2024.9.19,63100
2024.9.20,63000
2024.9.23,62600
2024.9.24,63200
2024.9.25,62200
2024.9.26,64700
2024.9.27,64200
2024.9.30,61500
2024.10.2,61300
2024.10.4,60600
2024.10.7,61000
2024.10.8,60300
2024.10.10,58900
2024.10.11,59300
2024.10.14,59300
2024.10.15,61000
2024.10.16,59500
2024.10.17,59700
2024.10.18,59200
2024.10.21,59000
2024.10.22,57700
2024.10.23,59100
2024.10.24,56600
2024.10.25,55900
2024.10.28,58100
2024.10.29,59600
2024.10.30,59100
2024.10.31,59200
2024.11.1,58300
2024.11.4,58700
2024.11.5,57600
2024.11.6,57300
2024.11.7,57300
2024.11.8,57000
2024.11.11,55000
2024.11.12,53000
2024.11.13,50600
2024.11.14,49900
2024.11.15,53500
2024.11.18,56700
2024.11.19,56300
2024.11.20,55300
2024.11.21,56400
2024.11.22,56000
2024.11.25,57900
2024.11.26,58300
2024.11.27,56300
2024.11.28,55500
2024.11.29,54200
2024.12.2,53600
2024.12.3,53600
2024.12.4,53100
2024.12.5,53700
2024.12.6,54100
2024.12.9,53400
2024.12.10,54000
2024.12.11,54000
2024.12.12,55900
2024.12.13,56100
2024.12.16,55600
2024.12.17,54200
2024.12.18,54900
2024.12.19,53100
2024.12.20,53000
2024.12.23,53500
2024.12.24,54400
2024.12.26,53600
2024.12.27,53700
2024.12.30,53200
2025.1.2,53400
2025.1.3,54400
2025.1.6,55900
2025.1.7,55400
2025.1.8,57300
2025.1.9,56100
2025.1.10,55300
2025.1.13,54100
2025.1.14,53900
2025.1.15,53700
2025.1.16,54300
2025.1.17,53700
2025.1.20,53400
2025.1.21,53500
2025.1.22,54300
2025.1.23,53700
2025.1.24,53700
2025.1.31,52400
2025.2.3,51000
2025.2.4,52700
2025.2.5,52900
2025.2.6,54000
2025.2.7,53700
2025.2.10,55600
2025.2.11,55700
2025.2.12,55800
2025.2.13,55800
2025.2.14,56000
2025.2.17,56000
2025.2.18,56900
2025.2.19,58700
2025.2.20,58400
2025.2.21,58200
2025.2.24,57300
2025.2.25,57200
2025.2.26,56600
2025.2.27,56300
2025.2.28,54500
2025.3.4,54500
2025.3.5,54000
2025.3.6,54300
2025.3.7,53700
2025.3.10,53700
2025.3.11,53600
2025.3.12,54900
2025.3.13,54700
2025.3.14,54700
2025.3.17,57600
2025.3.18,57600
2025.3.19,58500
2025.3.20,60200
2025.3.21,61700
2025.3.24,60500
2025.3.25,59800
2025.3.26,61400
2025.3.27,61800
2025.3.28,60200
2025.3.31,57800
2025.4.1,58800
2025.4.2,58800
2025.4.3,57600
2025.4.4,56100
2025.4.7,53200
2025.4.8,53500
2025.4.9,53000
2025.4.10,56400
2025.4.11,55200
2025.4.14,56200
